DTSTAMP,DTSTART,DTEND,SUMMARY,LOCATION,DESCRIPTION,CREATED,LAST-MODIFIED,SEQUENCE
<icalendar.prop.vDDDTypes object at 0x0000021093DCB4F0>,2021-12-06T07:30:00,2021-12-06T09:00:00,DS TP Gestion d'annuaires unifiés,RT-Labo Informatique 1,"

RT2Dijkstra
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DCB910>,2021-09-03T06:15:00,2021-09-03T08:15:00,Transmissions guidées,RT-Amphi,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DCBD00>,2021-09-03T11:30:00,2021-09-03T13:30:00,Scripts avancés,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE4040>,2021-11-22T13:00:00,2021-11-22T15:00:00,PPP,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE4520>,2021-10-11T06:15:00,2021-10-11T10:15:00,Bases des systèmes d'exploitation,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE4940>,2021-12-16T07:15:00,2021-12-16T11:15:00,SAE12: Réseaux,RT-Labo reseaux 2,"

RT1Turing
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE4D60>,2021-12-15T13:00:00,2021-12-15T15:00:00,Anglais général,RT-Labo Informatique 2,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE5150>,2021-09-06T12:00:00,2021-09-06T14:00:00,Matrices et graphes,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE5540>,2021-09-23T08:15:00,2021-09-23T10:15:00,Introduction aux technologies Web,RT-Salle Info CAO,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE5960>,2021-10-22T06:15:00,2021-10-22T10:15:00,Bases des systèmes d'exploitation,RT-Labo Informatique 1,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE5D80>,2021-09-28T12:00:00,2021-09-28T16:00:00,Scripts avancés,RT-Labo Informatique 3,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE6170>,2021-11-25T12:30:00,2021-11-25T15:30:00,Electromagnétisme,RT-Labo Informatique 2,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE6560>,2022-02-07T12:30:00,2022-02-07T14:30:00,TP Solutions métier,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE6950>,2022-02-15T08:15:00,2022-02-15T11:15:00,Signaux et systèmes pour les transmissions,RT-Labo Telecoms 2,"

RT1Turing
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE6D70>,2021-12-10T07:15:00,2021-12-10T11:00:00,VoIP/ToIP - M. SOTOMAYOR,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE7190>,2022-01-18T07:15:00,2022-01-18T11:15:00,SAE15: Traiter des données,RT-Labo Informatique 2,"

RT1Huffman
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE75B0>,2021-10-12T12:00:00,2021-10-12T14:00:00,Transmission large bande,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE79A0>,2021-11-08T07:15:00,2021-11-08T09:15:00,Mathématiques du signal,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DE7D90>,2021-10-06T08:15:00,2021-10-06T10:15:00,Expression Culture Communications professionnelles,RT-Salle-TD1,"

TDFourier
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF41C0>,2021-09-21T12:00:00,2021-09-21T14:00:00,Initiation réseaux,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF45B0>,2021-09-27T13:15:00,2021-09-27T15:15:00,Mathématiques du signal,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF49A0>,2022-01-13T14:30:00,2022-01-13T15:30:00,SAE14: Se présenter sur Internet,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF4DC0>,2022-02-09T09:15:00,2022-02-09T11:15:00,Administration système,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF51B0>,2021-10-18T08:15:00,2021-10-18T10:15:00,Projet Personnel et Professionnel,RT-Labo Informatique 2,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF55D0>,2021-10-19T08:15:00,2021-10-19T10:15:00,Fondamentaux de la programmation,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF59F0>,2021-09-28T08:15:00,2021-09-28T10:15:00,Projet Personnel et Professionnel,RT-Labo Informatique 1,"

TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF5E10>,2021-11-16T08:15:00,2021-11-16T11:15:00,Fondamentaux de la programmation,RT-Labo Informatique 1,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF6230>,2021-10-29T08:15:00,2021-10-29T10:15:00,Fondamentaux de la programmation,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF6650>,2021-11-23T13:00:00,2021-11-23T16:00:00,Bases des systèmes d'exploitation,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF6A70>,2021-10-12T08:15:00,2021-10-12T10:15:00,Réseaux opérateurs SM,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF6E60>,2022-01-05T07:15:00,2022-01-05T09:15:00,Supports de transmission pour les réseaux locaux,RT-Salle Labo Visio,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF7250>,2021-10-11T12:00:00,2021-10-11T14:00:00,Principes et architecture des réseaux,"RT-Salle-TD2,RT-Amphi,RT-Salle-TD1","

RT1-S1
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF76A0>,2022-01-06T07:15:00,2022-01-06T09:15:00,CM Maintien de la disponibilité,RT-Salle-TD4,"

LP-CyberSécurité
BARANEK OLIVIER
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF7A90>,2021-10-11T06:15:00,2021-10-11T08:15:00,Projet Personnel et Professionnel,RT-Labo Informatique 1,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093DF7FD0>,2021-12-02T07:15:00,2021-12-02T11:15:00,Réseaux locaux et équipements actifs,RT-Labo reseaux 2,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094608310>,2021-12-02T08:45:00,2021-12-02T10:15:00,DS TP Infrastructure sans fil,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094608700>,2021-11-24T07:15:00,2021-11-24T11:15:00,Infrastructure sans fi,RT-Labo Telecoms 1,"

RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094608AF0>,2022-02-07T09:15:00,2022-02-07T11:15:00,CM Solutions métier,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094608EE0>,2021-09-20T12:00:00,2021-09-20T14:00:00,PPP,"RT-Labo Informatique 2,RT-Labo Informatique 1","

RT2Dijkstra
RT2App
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094609300>,2021-10-05T06:15:00,2021-10-05T08:15:00,Initiation réseaux,RT-Salle-TD3,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946096F0>,2021-12-13T15:00:00,2021-12-13T17:00:00,PPP,RT-Labo Informatique 3,"

RT2Dijkstra
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094609AE0>,2021-11-19T12:30:00,2021-11-19T16:15:00,Management de projet (Etude de Cas),Pôle formation (Monéteau),"

RT-LP GSIE
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094609F00>,2021-11-30T13:00:00,2021-11-30T15:00:00,Infrastructure sans fil,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109460A2F0>,2021-09-20T12:00:00,2021-09-20T14:00:00,Mathématiques du signal,"RT-Amphi,RT-Salle-TD1","

RT1-S1
ANSEL DAVID
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109460A6E0>,2021-10-20T06:15:00,2021-10-20T08:15:00,Anglais général,RT-Salle-TD2,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109460AAD0>,2021-09-15T12:00:00,2021-09-15T14:00:00,Transmissions guidées,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109460AEC0>,2021-11-08T13:00:00,2021-11-08T15:00:00,PPP,RT-Labo Informatique 2,"

RT2Dijkstra
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109460B2B0>,2022-01-12T13:00:00,2022-01-12T17:00:00,SAE13: Telecommunication,RT-Labo Electronique 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109460B6D0>,2021-09-21T12:00:00,2021-09-21T14:00:00,Projet Personnel et Professionnel,RT-Labo Informatique 1,"

TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109460BAF0>,2021-11-16T15:00:00,2021-11-16T17:00:00,Anglais,RT-Labo Informatique 2,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946180A0>,2022-01-10T07:15:00,2022-01-10T09:15:00,SAE13: Telecommunication,RT-Labo Telecoms 2,"

RT1Turing
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094618310>,2021-12-13T13:00:00,2021-12-13T17:00:00,SAE12: Réseaux,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094618700>,2021-12-13T14:30:00,2021-12-13T16:30:00,TP Cryptographie,RT-Salle-TD1,"

LP-CyberSécurité
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094618AF0>,2021-10-26T08:15:00,2021-10-26T10:15:00,Mathématiques des transmissions,RT-Salle-TD1,"

TDBell
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094618EE0>,2021-11-17T12:30:00,2021-11-17T16:15:00,BDD : MODELE RELATIONNEL,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946192D0>,2021-10-15T06:15:00,2021-10-15T10:00:00,ITIL,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946196C0>,2021-11-15T07:15:00,2021-11-15T11:15:00,Fondamentaux de la programmation,RT-Labo Informatique 2,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094619AE0>,2021-09-08T08:15:00,2021-09-08T10:15:00,Transmissions guidées,RT-Salle-TD3,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094619ED0>,2022-01-14T07:15:00,2022-01-14T11:00:00,Administration Active Directory,Pôle formation (Monéteau),"

RT-LP GSIE
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109461A2C0>,2021-11-22T08:15:00,2021-11-22T11:15:00,Principes et architecture des réseaux,RT-Labo reseaux 2,"

RT1Turing
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109461A6E0>,2021-12-06T13:00:00,2021-12-06T16:00:00,Supports de transmission pour les réseaux locaux,RT-Labo Telecoms 2,"

RT1Shannon1
RT1Shannon2
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109461AAD0>,2021-10-13T07:15:00,2021-10-13T10:15:00,Transmissions guidées,RT-Labo Telecoms 2,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109461AEC0>,2021-11-08T13:00:00,2021-11-08T15:00:00,Mathématiques du signal,RT-Salle-TD1,"

TDBell
ANSEL DAVID
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109461B2B0>,2022-02-08T07:15:00,2022-02-08T09:15:00,Administration système,RT-Labo Informatique 2,"

RT1Turing
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109461B6A0>,2021-09-28T12:00:00,2021-09-28T16:00:00,Fondamentaux de la programmation,RT-Labo Informatique 2,"

RT1Turing
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109461BAC0>,2021-10-28T06:15:00,2021-10-28T10:15:00,Applications informatiques,RT-Labo Informatique 3,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109461BFD0>,2021-10-18T08:15:00,2021-10-18T10:15:00,Mathématiques du signal,RT-Salle-TD1,"

TDFourier
ANSEL DAVID
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946342E0>,2022-01-07T12:30:00,2022-01-07T16:15:00,Programmation appareils CISCO,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946346D0>,2021-09-14T06:15:00,2021-09-14T08:15:00,Transmissions guidées,RT-Salle-TD3,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094634AC0>,2022-01-10T13:00:00,2022-01-10T16:00:00,SAE14: Se présenter sur Internet,RT-Labo Informatique 1,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094634EE0>,2021-11-10T07:15:00,2021-11-10T09:15:00,Mathématiques des transmissions,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946352D0>,2021-09-13T06:15:00,2021-09-13T08:15:00,Transmissions guidées,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946356C0>,2021-11-09T07:15:00,2021-11-09T09:15:00,Anglais,RT-Labo Informatique 1,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094635AB0>,2021-10-01T06:15:00,2021-10-01T10:15:00,Scripts avancés,RT-Labo Informatique 3,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094635EA0>,2021-10-15T07:15:00,2021-10-15T10:15:00,Visite Orange - Cuivre,,"

RT2App
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094636290>,2021-09-23T06:15:00,2021-09-23T10:15:00,SAE11: Cybersécurité,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946366B0>,2022-01-31T13:00:00,2022-01-31T15:00:00,Technologie de l'internet,RT-Amphi,"

TDBell
TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094636AA0>,2021-11-24T13:00:00,2021-11-24T15:00:00,DS TP Applications informatiques,RT-Labo Informatique 2,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094636EC0>,2021-12-01T13:00:00,2021-12-01T15:00:00,Anglais général,RT-Labo Informatique 1,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946372B0>,2021-12-07T07:15:00,2021-12-07T09:15:00,Supports de transmission pour les réseaux locaux,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946376A0>,2021-10-14T06:15:00,2021-10-14T08:15:00,Principes et architecture des réseaux,RT-Salle-TD2,"

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094637AC0>,2021-12-16T08:15:00,2021-12-16T11:15:00,Fibres optiques,RT-Labo Electronique 1,"

RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094637FD0>,2021-12-06T15:00:00,2021-12-06T16:00:00,DS Gestion d'annuaires unifiés,RT-Amphi,"

RT2Dijkstra
RT2Hamming
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946442E0>,2022-01-21T07:15:00,2022-01-21T11:15:00,SAE15: Traiter des données,RT-Labo Informatique 1,"

RT1App
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094644700>,2021-09-17T11:30:00,2021-09-17T13:30:00,Matrices et graphes,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094644AF0>,2021-12-09T07:15:00,2021-12-09T11:15:00,SAE12: Réseaux,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094644EE0>,2021-11-24T07:15:00,2021-11-24T09:15:00,Anglais général,RT-Labo Informatique 3,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946452D0>,2021-09-23T06:15:00,2021-09-23T10:15:00,SAE11: Cybersécurité,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210946456C0>,2021-10-27T12:00:00,2021-10-27T14:00:00,Administration système,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094645AB0>,2021-11-16T12:30:00,2021-11-16T14:30:00,CM Supervision et sécurisation du SI,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
